"Country Name","Country Code","Year","average_value_Automated teller machines (ATMs) (per 100,000 adults)","average_value_Bank liquid reserves to bank assets ratio (%)","average_value_Borrowers from commercial banks (per 1,000 adults)","average_value_Broad money (% of GDP)","average_value_Broad money (current LCU)","average_value_Broad money growth (annual %)","average_value_Broad money to total reserves ratio","average_value_Claims on central government (annual growth as % of broad money)","average_value_Claims on central government, etc. (% GDP)","average_value_Claims on private sector (annual growth as % of broad money)","average_value_Commercial bank branches (per 100,000 adults)","average_value_Consumer price index (2010 = 100)","average_value_DEC alternative conversion factor (LCU per US$)","average_value_Deposit interest rate (%)","average_value_Depositors with commercial banks (per 1,000 adults)","average_value_Depth of credit information index (0=low to 8=high)","average_value_Domestic credit provided by financial sector (% of GDP)","average_value_Domestic credit to private sector (% of GDP)","average_value_Domestic credit to private sector by banks (% of GDP)","average_value_Foreign direct investment, net (BoP, current US$)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_Foreign direct investment, net outflows (% of GDP)","average_value_Foreign direct investment, net outflows (BoP, current US$)","average_value_GDP deflator: linked series (base year varies by country)","average_value_Inflation, GDP deflator: linked series (annual %)","average_value_Inflation, consumer prices (annual %)","average_value_Interest rate spread (lending rate minus deposit rate, %)","average_value_International migrant stock (% of population)","average_value_International migrant stock, total","average_value_Lending interest rate (%)","average_value_Monetary Sector credit to private sector (% GDP)","average_value_Net domestic credit (current LCU)","average_value_Net foreign assets (current LCU)","average_value_Net migration","average_value_Official exchange rate (LCU per US$, period average)","average_value_Personal remittances, paid (current US$)","average_value_Personal remittances, received (% of GDP)","average_value_Personal remittances, received (current US$)","average_value_Personal transfers, receipts (BoP, current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Portfolio investment, net (BoP, current US$)","average_value_Private credit bureau coverage (% of adults)","average_value_Public credit registry coverage (% of adults)","average_value_Real interest rate (%)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Total reserves minus gold (current US$)"
"United Kingdom","GBR","1998","","","","89.6090938353287","893624000000","20.8452448889622","38.1150600474449","-1.76178331201199","2.52585367516774","6.84793868106962","","79.1289069724431","0.6038","4.48333333333333","","","","102.650195989559","101.957288415007","48157120557.6836","6.64909241515054","109817612847.493","9.56484642521314","157974733405.176","71.9367087441377","1.03423391126441","1.82056163731558","2.74871666666667","","","7.23205","102.650195989559","1052613000000","25160000000","","0.603823594166667","1408536572.24759","0.0842804998904819","1391991978.70625","","63172500392.6856","18073369968.3304","","","6.13437232985699","","","38829795838.1208","0.849729315522174","32211547268.0808"
"Ghana","GHA","2003","","29.861631729152","","31.0459269884883","2053927123.92631","23.2408348630501","1.61187247787484","-9.94260369879519","10.397642421282","13.972231199894","","40.8234015194189","0.8668","14.3233333333333","","","","12.493048761649","12.3870144520627","-136751000","1.79171535286142","136751000","0.140842154833889","10749645.8547","17.4666091358602","28.7044072782444","26.6749497261172","","","","","12.493048761649","1781094667.65261","933473153.542042","","0.866764326525345","","0.852943243383612","65100096","65100096","","0","","","","","17.7094465886763","1470061309.67805","4.04866980793435","1352814059.67805"
"Gibraltar","GIB","1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.640958255","","","","","","","","","","","","","",""
"Gambia, The","GMB","1995","","","","12.1960209235368","914920000","14.2193703028638","0.903094814437133","15.1500817307857","-1.09129252784863","-4.95118723627375","","46.3389649285639","9.5443","12.5","","","","4.83617845391854","4.56357688450665","-7729249.07225427","0.983368797135463","7729249.07225427","0","0","18.0560113976754","3.9632505001165","6.98097441830553","12.5416666666667","14.1581577599165","150890","25.0416666666667","4.83617845391854","281113515.362179","702067738.530739","","9.54426481930989","","","","","","0","","","20.2748721929646","","24.9129989207915","106146503.014591","5.31392179885268","106146503.014591"
"Gambia, The","GMB","2003","","23.4495040957145","","32.8986293120564","4571416238.49","42.7442203076249","2.70170954366863","30.1366344624353","11.9728183184939","12.5725789109434","","67.6993064479928","28.5305","16.4166666666667","","","","11.7579441643718","11.5759958480255","-18272720.342347","3.75179955508876","18272720.342347","","","35.925756968005","27.3911400597239","17.0328665431988","12.9166666666666","","","29.3333333333333","11.7579441643718","3503361669.65","1493149863.32874","","28.5305083333333","526103.489802291","11.101751415921","54069839.2743908","53472583.8802382","","","","","14.5618019700946","","9.21786169233885","59306559.0279377","3.79866474277868","59306559.0279377"
"Equatorial Guinea","GNQ","1986","","","","39.8143148035975","10535000000","17.4208649130629","11.3662627445575","-8.07444079517309","23.0070082656474","20.4525189478377","","31.1904099229299","346.3059","","","","","31.6058011108198","31.6058011108198","","7.36839656771809","5630000","","","","","-17.6404240920371","","","","","31.6058011108198","14450730839.3788","-5858609164.24772","","346.305903554493","","","","","","","","","","","","2676436.58791487","","2676436.58791487"
"Guyana","GUY","1961","","","","19.0834902699309","60800000","-2.2508038585209","2.35032280408045","1.28617363344051","1.00439422473321","-5.46623794212219","","","1.7143","","","","","","9.22787193973635","","","","","","","","","","","","","9.22787193973635","32600000","26900000","","1.71429000071429","","","","","","","","","","","","15090000","","15090000"
"Haiti","HTI","2010","","93.7836587566422","1.85","27.9779393542159","131516979442.844","26.1159789975388","1.72346150913623","-6.75030390310361","1.80645769131308","-1.40602173642193","2.48","100","40.3096","0.735833333333333","336.27","","","7.92924320800007","7.41622795358387","-178000000","1.5263790251018","178000000","0","0","88.0298242835407","6.58355206313608","4.82734190074673","16.7458333333334","0.351053445346957","35104","17.4816666666667","7.92924320800007","53036600651.6703","82585652095.2441","","39.7974","166978561.660663","12.6381158037283","1473804720.89074","1473804720.89074","0","0","0","0.7","10.2249497155762","","197.388967747345","1893092124.23191","5.28582934043912","1891253730.23191"
"Haiti","HTI","2001","","63.1790869763135","","22.1199472605635","33549331000","15.3967871242822","9.9294709026505","6.06228730279826","9.28266438101013","1.8318014434001","","36.5600769588084","23.8291","","","","","8.30016310222751","7.99505998124945","-4400000","0.0691290421014193","4400000","0","0","34.1331170258122","12.914949868087","13.31672224251","","","","17.85","8.30016310222751","27513040000","6728517408.96664","","24.4290833333333","19340000","9.79715638036433","623580000","623580000","0","0","","","4.37059055304755","","11.0296845219655","141791473.952002","1.28380039191165","141429811.952002"
"IBRD only","IBD","1977","","","","28.214218756015","","","","","5.01251119183612","","","","","","","","","37.5819077121259","26.8379926888152","","0.487873427610878","4083549202.29652","0.042016879463022","401864760.275916","","","11.8202775391489","","","","","33.3083264097267","","","-4274006","","2243487471.4941","","5482049914.661","","-3224134.32767218","","","","","","24.0698969590291","","6.35202711503238",""
"IDA only","IDX","2012","4.26090131619621","18.7905920573064","17.41","35.1035295376603","","","","","6.90664859852086","","3.33","","","","156.77","","","21.0828936948743","20.6321825913896","","4.68279516724849","38155000983.9482","0.415106401017982","2434472348.55721","","","5.91200602491156","8.24","","","","20.7987991506502","","","-13680033","","6466098145.22248","5.91389089050893","47998082365.3386","43341221247.6465","13514513.4899421","","2.16964285714286","2.27857142857143","","","44.242689138684","","4.71370072095371",""
"IDA only","IDX","2013","4.85850488625223","20.596504438583","26.175","34.9966840791628","","","","","7.42633804952362","","3.59","","","","155.78","1.29824561403509","","21.4133571651068","20.95277063499","","4.36591103297055","39918741861.4256","0.421806698809414","2719118959.69483","","","4.95618043619119","8.01958333333333","","","","21.1165166869344","","","","","7560151592.03153","5.64783961221838","51583035306.1723","46296393359.6164","184693860.436681","","3.03333333333333","2.5280701754386","","4.94736842105263","42.4431169784835","","4.92897042448494",""
