"Country Name","Country Code","Year","average_value_Access to electricity (% of population)","average_value_Agricultural land (% of land area)","average_value_Agricultural land (sq. km)","average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Arable land (% of land area)","average_value_CO2 emissions (kg per 2010 US$ of GDP)","average_value_CO2 emissions (kg per 2017 PPP $ of GDP)","average_value_CO2 emissions (kt)","average_value_CO2 emissions (metric tons per capita)","average_value_CO2 emissions from gaseous fuel consumption (% of total)","average_value_CO2 emissions from gaseous fuel consumption (kt)","average_value_CO2 emissions from liquid fuel consumption (% of total)","average_value_CO2 emissions from liquid fuel consumption (kt)","average_value_CO2 emissions from solid fuel consumption (% of total)","average_value_CO2 emissions from solid fuel consumption (kt)","average_value_CPIA public sector management and institutions cluster average (1=low to 6=high)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Forest area (% of land area)","average_value_Forest area (sq. km)","average_value_Land area where elevation is below 5 meters (% of total land area)","average_value_Marine protected areas (% of territorial waters)","average_value_Methane emissions (% change from 1990)","average_value_Methane emissions (kt of CO2 equivalent)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Nitrous oxide emissions (% change from 1990)","average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Other greenhouse gas emissions (% change from 1990)","average_value_Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","average_value_Population growth (annual %)","average_value_Population in urban agglomerations of more than 1 million (% of total population)","average_value_Population living in areas where elevation is below 5 meters (% of total population)","average_value_Population, total","average_value_Primary completion rate, total (% of relevant age group)","average_value_Renewable electricity output (% of total electricity output)","average_value_Renewable energy consumption (% of total final energy consumption)","average_value_Rural land area where elevation is below 5 meters (% of total land area)","average_value_Rural land area where elevation is below 5 meters (sq. km)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Terrestrial and marine protected areas (% of total territorial area)","average_value_Terrestrial protected areas (% of total land area)","average_value_Total greenhouse gas emissions (kt of CO2 equivalent)","average_value_Urban land area where elevation is below 5 meters (% of total land area)","average_value_Urban land area where elevation is below 5 meters (sq. km)","average_value_Urban population","average_value_Urban population (% of total population)","average_value_Urban population growth (annual %)","average_value_Urban population living in areas where elevation is below 5 meters (% of total population)"
"United Kingdom","GBR","1998","100","72.4093746124912","175180","0.969168119833903","","","25.8463191832348","0.265067898729943","0.248994413309766","525030","8.97684501282085","34.6270738814925","181802.526","36.8494981239167","193470.92","27.7768108489039","145836.59","","6.64909241515054","12.0646467986608","29188","","","-18.966858446245","117130","6.8","-8.45711351357258","44070","-38.2567578592409","5233.58203125","0.291406085432392","25.6961765322056","","58487141","","2.39532069159381","1.02970432391514","","","","1.0025600194931","","","708380","","","45931122","78.532","0.367838511025178",""
"Ghana","GHA","2003","48.3","62.3059418124286","141770.94","36.5454059013539","","","18.3923705722071","0.339499897030762","0.118281382426653","7130","0.343609357509296","0","0","93.75793828892","6684.941","0","0","","1.79171535286142","37.6940581875714","85769.06","","","15.3365670963769","10580","88.2","-20.1346604927018","4540","559.146108906436","284.724365234371","2.45852753662363","15.2625638135106","","20750308","68.1915283203125","66.0659639578375","64.4709014892578","","","","0.915970027446747","","","22530","","","9534974","45.951","3.94058508789",""
"Gibraltar","GIB","1996","100","","","","","","","","","","","","0","","282.359","","0","","","0","0","","","12.9163433246859","","","59.0280614123775","","-77.2727272727273","","0.978189491848197","","","28970","","0","0","","","","","","","","","","28970","100","0.978189491848197",""
"Gambia, The","GMB","1995","19.921443939209","55.0395256916996","5570","21.3587381999845","","","18.2806324110672","0.24979691177289","0.091610537034378","220","0.194935746519732","0","0","98.3422727272727","216.353","0","0","","0.983368797135463","38.1417984189723","3859.95","","","7.31277733826885","3350","138.9","-0.507371869880646","310","0","99.8835117220879","3.0916680333098","","","1128577","43.1250991821289","0","59.5776946715124","","","","0.703599989414215","","","3880","","","489374","43.362","5.16553691378897",""
"Gambia, The","GMB","2003","27.8","50.098814229249","5070","26.7482904903386","","","29.6442687747036","0.249938025924024","0.0916622892481136","300","0.206907253823474","1.22233333333333","3.667","99.009","297.027","0","0","","3.75179955508876","33.6097826086957","3401.31","","","7.34256627631762","920","98.7","-11.8537795459864","330","1500.25","542.086612820625","3.19992209584347","","","1449925","65.8316802978516","0","61.9206008911133","","","","","","","1960","","","733010","50.555","4.93987994396645",""
"Equatorial Guinea","GNQ","1986","","11.9073083778966","3340","","","","4.63458110516934","0.386742719713826","","80.674","0.21861450745751","0","0","100","80.674","0","0","","7.36839656771809","","","","","","102.99","184.3","","16.27159","","16.341251241684","4.69010158114165","","","369024","","","","","","","","","","198.72359","","","113921","30.871","7.75149115435619",""
"Guyana","GUY","1961","","6.90864724721671","13590","23.8543628374137","","","1.77926897463271","0.478874848634468","","737.067","1.25080522812817","0","0","100","737.067","0","0","","","","","","","","","88.3","","","","","3.00792558761277","","","589274","","","","","","","","","","","","","171178","29.049","3.14574009255862",""
"Haiti","HTI","2001","31.542382","60.5950653120465","16700","16.4529500895812","","","32.656023222061","0.164882593026913","0.0706539985831111","1600","0.185856117163696","0","0","91.675","1466.8","0","0","","0.0691290421014193","13.8034470246734","3804.23","","","27.6695316208103","4130","100.3","53.6619253074165","1450","3562.27499999927","-73.9920043945303","1.6987615857841","20.6772945389665","","8608810","","47.6430976430976","80.88330078125","","","","","","","7220","","","3206868","37.251","6.23206644251323",""
"Haiti","HTI","2010","37.0731506347656","67.8519593613933","18700","20.2193899742095","","","39.9129172714078","0.210949011334293","0.0903939638157502","2460","0.247253128304875","0","0","80.3460569105691","1976.513","0","0","2.5","1.5263790251018","13.7293178519594","3783.8","1.595681828","","35.9599611825418","4420","207","61.0416233905543","1540","1951.66749999957","314.72328186035","1.53210280667313","21.5154244743208","1.867985623","9949318","","30.1533219761499","78.9946975708008","1.506136533","405.5688477","1.049246083","","","","8570","0.089545295","24.11254311","4726821","47.509","3.61857750958699","0.81873954"
"IBRD only","IBD","1977","","37.6703782284414","18938708.067","23.0182436301001","","","10.5099094552016","1.51812971573498","","8205527.35199303","2.99279588633377","11.4491896790535","1012992.54912429","36.9509606973601","2895053.5600278","46.2152818980192","3748924.57527805","","0.487873427610878","","","","","","3390626.487586","","","1132402.91222629","","2029829.22556179","1.85109446660208","12.8969935215074","","2741759767","78.5043411254883","","","","","","0.82183","","","13280290.641774","","","863972277","31.5115965551117","3.00584208987189",""
"IDA only","IDX","1998","","35.6283006095314","6412004.24","30.8848592735741","","","7.69924349795362","0.384234471277679","0.132321864735624","157172.251979215","0.22978189047517","22.028759447485","","78.2451022934584","122981.576342499","3.57668686473808","","","1.61532673038856","30.5992813000832","5506934.602","","","-1.90098991746284","631310","137.955394102874","-7.48723255253365","303050","56.682170759434","-13764.4298317923","2.47156024510792","10.6679445769736","","684006262","48.3089485168457","56.1706315962509","77.7169743389054","","","","0.81306","","","1092820","","","176415183","25.865801212602","3.72339771593337",""
"IDA only","IDX","2012","42.1361650213818","38.3730250814443","7907374.24","24.069202217297","","","9.54801667339326","0.368093680660764","0.122319780157576","311456.663519405","0.327805352993729","21.7348596020421","","63.0372133132609","195844.17676193","7.09014137976175","","3.00714285714286","4.68279516724849","26.1050931450858","5379371.072","","","33.8134197541353","886770","77.5645002516152","28.8709445625608","395300","30.5027786400036","17302.487518728","2.20746208823159","12.1796995581081","","950126838","70.97705078125","50.2666951618968","70.563430633556","","","","0.92673","","","1605930","","","298982857","31.5276427978713","3.58012670772283",""
"IDA only","IDX","2013","42.7275013899275","38.5342592213423","7940574.2","22.7864910317278","","","9.66520983240124","0.347323873985683","0.115276087768813","312058.04927499","0.321382423255725","21.9073754695411","","65.27295933366","203142.579724513","7.48731569492079","","2.99649122807017","4.36591103297055","25.9318187127487","5343648.348","","","","911820","74.6828784770025","","405570","","10361.7631905116","2.19547876827788","12.2711707586927","","970986671","70.4896926879883","51.9448346718495","70.8045296814109","","","","0.929","","","1643930","","","309616846","31.9466458470711","3.55672198289281",""
"Isle of Man","IMN","1975","","58.2456140350877","332","","","","36.6666666666667","","","","","","","","","","","","","","","","","","","","","","","","1.36940906856456","","","59482","","","","","","","","","","","","","31170","52.403","-0.13145030026361",""
"Isle of Man","IMN","2017","100","68.5964912280702","391","0.400506349187324","","","40.3508771929825","","","","","","","","","","","","","6.07017543859649","34.6","","","","","","","","","","0.376260134981162","","","83610","","","1.88160002231598","","","","","4.22910719476977","3.72176999077853","","","","43860","52.458","0.594559263475354",""
"India","IND","2005","67.0934371948242","60.5834137744308","1801260","17.6202069547056","","","53.6272488471978","0.95298264570143","0.305487818700668","1137740","0.991399582912634","4.43685921212228","50479.922","26.3691122752123","300011.938","70.1453066605727","798071.212","3.7","0.886100720125194","23.0538579774586","685435","","","13.8157382461495","621230","74.5","23.5786668421399","202260","-19.0903952656592","-116803.890625","1.57970914338086","12.9790488810726","","1147609924","","16.6190180757235","48.532398223877","","","","","","","1969680","","","335503761","29.235","2.72183174211269",""
"Iran, Islamic Rep.","IRN","1968","","36.5922542302119","596000","15.853614366579","","","9.27085635698323","0.536213640704144","","82404.824","3.04835262462593","3.68903524385903","3039.943","44.3307226771093","36530.654","0.956746173015308","788.405","","","","","","","","","","","","","","2.67980528576127","18.5308495942081","","27032576","","","","","","","","","","","","","10660837","39.437","4.93648385629204",""
"Iraq","IRQ","1992","","21.8350595605551","95500","19.8705741718241","134.772727272727","47.44","12.1178864576903","1.98374137324328","1.05604735540974","67390","3.66195468718245","6.46989612702181","4360.063","79.5976791808874","53640.876","0","0","","0.0167969496578877","1.84466241397444","8068","","","-43.4273977079103","9050","51.4","-19.378593831678","3520","1.33200122963386","-8805.5595703125","2.82880216640198","30.4984529477676","","18402740","","2.76679841897233","0.490534585428941","","","","","","","80130","","","12759908","69.337","2.56234834592215",""
"Israel","ISR","2013","100","24.043438077634","5203","1.26096997473754","","","13.2070240295749","0.256400899583333","0.22614816777767","67000","8.31317079223277","19.6211865671642","13146.195","34.2782402985075","22966.421","39.9046223880597","26736.097","","4.04595048714034","7.42144177449168","1606","","","","10230","4.1","","2160","","","1.86605289478673","56.9483838947826","","8059500","102.85440826416","0.931150321255015","3.26600003242493","","","","1.01078999042511","","","88550","","","7417238","92.031","1.9432218377876",""
"Jamaica","JAM","2003","86.672737121582","43.7673130193906","4740","5.2138620043709","","","12.4653739612188","0.79909796975765","0.39837752115406","10590","3.90855963487631","0","0","95.7436732766761","10139.255","2.14687440982059","227.354","","7.24796700703385","49.1445060018467","5322.35","","","5.73573549279596","1170","20.5","32.8363518758085","560","7.61508596020564","155.8709869385","0.614372047606307","","","2709438","","2.51889168765743","8.18379974365234","","","","1.01672005653381","","","12410","","","1420748","52.437","0.969741861441788",""
"Cambodia","KHM","1997","","25.9460684341718","45800","44.4472126763912","","","20.9607976433265","0.423656792069171","0.1224955174421","1700","0.150461198977501","0","0","86.2823529411765","1466.8","0","0","","5.91564174862269","61.4555687740766","108481.37","","","1.67706424446106","14950","119.6","-11.5799209082791","3590","","-14.8566436767615","2.83370454532593","8.9493259072766","","11298594","17.1940803527832","0","82.196255995888","","","","","","","20280","","","2040526","18.06","4.94326068560942",""
"Kiribati","KIR","2013","82.3173980712891","41.9753086419753","340","23.0477571307128","","","2.46913580246914","0.346647875128924","0.273403442611933","60","0.556137440099363","0","0","85.5633333333333","51.338","0","0","3.2","0.452768730716828","1.45679012345679","11.8","","","","20","60.5","","0","","26.5396138131618","1.42642187780666","","","107887","","0","44.5658988952637","","","","","","","90","","","53865","49.927","3.13409518446048",""
"Kuwait","KWT","1987","","7.74410774410774","1380","","","","0.224466891133558","","","31470.194","16.2308186636244","45.9450011652295","14458.981","48.1705896061524","15159.378","0","0","","-0.0282575115305138","","","","","","6571.63","20.5","","1021.2485","","-2991.3170898438","5.65559541947709","63.06802357606","","1938916","97.2158126831055","","","","","","0.921739995479584","","","51686.5785","","","1898819","97.932","5.67091023232214",""
"Liberia","LBR","1967","","26.733803986711","25750","","","","3.84136212624585","","","612.389","0.469972341431369","0","0","100","612.389","0","0","","","","","","","","","297.9","","","","","2.29578216347351","10.492374707605","","1303032","","","","","","","","","","","","","307802","23.622","5.592041621245",""
"Libya","LBY","1979","","8.45391409118292","148750","","","","0.994578128374462","","","26032.033","8.4063135752492","8.98718129313988","2339.546","50.2465135934639","13080.189","0","0","","","","","","","","18479.3","74.4","","1026.3635","","6923.7329345703","3.87228656952751","20.8223593707415","","3096724","92.375617980957","","","","","","0.844449996948242","","","50094.5135","","","2127326","68.696","5.97740034031867",""
"Lower middle income","LMC","1974","","38.4365492115559","9303280","31.6213137915238","","","14.3949489209624","0.829604347900248","","1134795.79956193","0.827254650920373","5.9581589958159","96927.4552282784","43.4126569037657","366298.322047392","27.6239539748954","332091.147838632","","0.566491717288491","","","","","","1319474.75573","","","421439.6751517","","853866.443271344","2.3897364046553","10.0738437167999","","1371761160","51.9043998718262","","","","","","0.6733","","","3972274.978937","","","329805297","24.0424721205199","4.17531658521855",""
"Lower middle income","LMC","1980","","37.8413925175664","9159170","26.9433126773751","","","14.2146968133999","0.945417715283264","","1464118.0512894","0.924326165072739","8.32917827043987","174864.55992527","48.5019478124101","528002.670156332","28.7639802664915","446141.773546795","","0.230617311900198","","","","","","1493088.19111","","","555640.1886368","","1459695.04576985","2.47114084063156","10.9317561750031","","1583984211","57.3502197265625","","","","","","0.70154","","","5278322.2328468","","","418854060","26.4430703921082","4.1967341047464",""
"Morocco","MAR","2004","78.2","67.3112256329823","300410","13.1609045519777","","","18.3956979610128","0.596571056410289","0.269717007664382","42170","1.40028974076742","0.234785392459094","99.009","56.9745885700735","24026.184","32.4873417121176","13699.912","","1.49821401864991","12.4888012547614","55737.52","","","12.3872631020901","12850","41.4","7.5208292544976","7790","727.102857142764","-550.867675781301","1.10960287730585","21.5956688443934","","30115196","74.2416381835938","10.2061564529794","23.0006999969482","","","","0.883870005607605","","","62980","","","16456148","54.644","1.70982187665139",""
"Maldives","MDV","2005","91.0376510620117","30","90","7.72803149964174","","","10","0.40599277368512","0.17620143911971","710","2.22149910514261","0","0","84.7025352112676","601.388","0","0","3.6","4.55499673617996","2.73333333333333","8.2","","","67.5308378814265","70","21.3","208.229690535111","10","-99.9999999999991","221.368828192353","2.64380900695878","","","319604","134.542510986328","0","1.94920003414154","","","","","","","840","","","107866","33.75","6.44828981133329",""
"Mexico","MEX","1967","","50.3299981995422","978390","11.746234939759","","","9.73790478150158","0.381745474658923","","90101.857","1.91884866427033","22.0096862154572","19831.136","62.879003703553","56655.15","5.57160880713036","5020.123","","","","","","","","","119.1","","","","","3.10692128476562","28.6921252244219","","46956208","","","","","","","","","","","","","26571109","56.587","4.5773756503162",""
"Mexico","MEX","1985","","52.1798400164613","1014350","6.53972544325482","","","9.58409424110702","0.482327906513911","","288501.225","3.79689377505002","18.9348585954878","54627.299","70.8446139180172","204387.579","4.47283126787417","12904.173","","1.01629040888608","","","","","","98561.8","57.1","","39224.3","","33260.858359375","2.16969682371989","35.9741378541121","","75983486","93.3925399780273","","","","","","0.936179995536804","","","443037.14","","","52390614","68.95","2.91649676431302",""
