"Country Name","Country Code","Year","average_value_Age dependency ratio (% of working-age population)","average_value_Age dependency ratio, old (% of working-age population)","average_value_Age dependency ratio, young (% of working-age population)","average_value_Population ages 15-19, female (% of female population)","average_value_Population ages 15-19, male (% of male population)","average_value_Population ages 15-64 (% of total population)","average_value_Population ages 15-64, female","average_value_Population ages 15-64, female (% of female population)","average_value_Population ages 15-64, male","average_value_Population ages 15-64, male (% of male population)","average_value_Population ages 15-64, total","average_value_Population ages 20-24, female (% of female population)","average_value_Population ages 20-24, male (% of male population)","average_value_Population ages 25-29, female (% of female population)","average_value_Population ages 25-29, male (% of male population)","average_value_Population ages 30-34, female (% of female population)","average_value_Population ages 30-34, male (% of male population)","average_value_Population ages 35-39, female (% of female population)","average_value_Population ages 35-39, male (% of male population)","average_value_Population ages 40-44, female (% of female population)","average_value_Population ages 40-44, male (% of male population)","average_value_Population ages 45-49, female (% of female population)","average_value_Population ages 45-49, male (% of male population)","average_value_Population ages 50-54, female (% of female population)","average_value_Population ages 50-54, male (% of male population)","average_value_Population ages 55-59, female (% of female population)","average_value_Population ages 55-59, male (% of male population)","average_value_Population ages 60-64, female (% of female population)","average_value_Population ages 60-64, male (% of male population)","average_value_Population ages 65 and above (% of total population)","average_value_Population ages 65 and above, female","average_value_Population ages 65 and above, female (% of female population)","average_value_Population ages 65 and above, male","average_value_Population ages 65 and above, male (% of male population)","average_value_Population ages 65 and above, total","average_value_Population ages 65-69, female (% of female population)","average_value_Population ages 65-69, male (% of male population)","average_value_Population ages 70-74, female (% of female population)","average_value_Population ages 70-74, male (% of male population)","average_value_Population ages 75-79, female (% of female population)","average_value_Population ages 75-79, male (% of male population)","average_value_Population ages 80 and above, female (% of female population)","average_value_Population ages 80 and above, male (% of male population)","average_value_Population growth (annual %)","average_value_Population, female","average_value_Population, female (% of total population)","average_value_Population, male","average_value_Population, male (% of total population)","average_value_Population, total","average_value_Sex ratio at birth (male births per female births)"
"Central African Republic","CAF","1966","80.9093592767168","8.81731173691558","72.0920475398012","8.76343446874776","8.97827628753801","55.276299910521","470937","55.4312860248568","453847","55.1165123531755","924783","7.89701349008401","8.08129875933896","7.23092514362861","7.30989322737033","6.52375801418807","6.50642676019392","5.82883212666861","5.75882404375832","5.08588290545877","4.97090227244023","4.29396871656464","4.23095046099739","3.7918423893021","3.65761835828581","3.29724913399099","3.10286702484237","2.71837963622325","2.51945515841017","4.87388367974303","43731","5.14732452356263","37809","4.59163598208474","81541","2.1601083820727","1.97721244741521","1.44552588492997","1.30211116400626","0.889137898767284","0.780513752198117","0.652552357792669","0.531798618465156","2.01128213112482","849587","50.781670740141","823432","49.218329259859","1673019",""
"Central African Republic","CAF","1992","91.1373346897253","7.45014452033781","83.6871901693875","10.1661091505906","10.3365447269904","52.3184024525249","791840","52.7435519302579","756381","51.8803320314911","1548225","8.66547836477937","8.75629486657146","7.29113795891833","7.30430869984512","6.12594934263726","6.07688688239659","5.02477183138369","4.93499705747997","3.97934592773473","3.87363213972649","3.41556861977137","3.27559409410851","3.09371465567887","2.89107737387289","2.70485218830055","2.44462369352796","2.27662389046308","1.98637249697174","3.89779659344507","64476","4.29467222450913","50872","3.48932119012246","115345","1.7835185725457","1.49862750988728","1.23586060632704","1.01287163890821","0.755477578794939","0.597009192460015","0.519815466841448","0.380812848866958","2.76593699593303","1501302","50.7327566980126","1457934","49.2672433019874","2959236","1.03"
"Chile","CHL","1960","76.0588985316497","6.60586604090946","69.4530324907403","9.48742379970778","9.71270635933717","56.7991722601405","2313922","56.9261172988164","2305545","56.6722637269932","4619470","8.51819569123158","8.64078450285347","8.00904156952121","8.05976687026988","7.60803595568863","7.62773379034056","5.92784703530153","5.87271001696816","4.79868411114891","4.7246120956972","4.15909245787165","4.05839722511662","3.44473662910745","3.31612919401594","2.74969303389285","2.60259618057783","2.22336701534474","2.05682749181642","3.75207641961935","165768","4.07815328796312","139388","3.42627599824689","305156","1.69317855008671","1.5131727564502","1.15435493326701","0.980259854033976","0.666677983389511","0.531659278891168","0.563941821219889","0.40118410887155","","4064781","49.9789376303027","4068207","50.0210623696973","8132988",""
"China","CHN","2014","37.1756398956484","12.2997130282436","24.8759268674048","6.14714195856575","6.56875129882044","72.8992407406556","484143639","72.9688728624977","510398792","72.8333074343051","994542472","7.33675116604156","7.64675503330242","9.10125290205025","9.17338321638498","6.9288360570457","6.91669192752225","7.20697566956354","7.17634257074151","8.94752091163133","8.84066942175013","8.87091564048948","8.62903189738507","6.94082275238689","6.81887838907669","5.83122622763463","5.67159449323573","5.65742957708862","5.39120918608588","8.96639740486212","64565697","9.73117429748319","57759895","8.2422690879055","122325870","3.55694950701634","3.29195115864086","2.45434882095368","2.24059848755657","1.8550679765387","1.52945380983956","1.86480799297447","1.18026563186851","0.506311591779847","663493378","48.633582635472","700776622","51.366417364528","1364270000","1.142"
"Cyprus","CYP","1974","61.1529960183552","15.8244664169462","45.328529601409","9.2285501581984","9.84584705977958","62.0528013550625","200782","62.2811588808239","197796","61.8224553200267","398579","8.85321670078789","9.45421357621069","7.62423227247348","7.77922248407524","6.81462869905081","6.67245938326322","6.23394751535455","5.99639934738171","5.61914510825734","5.2315732226466","5.0393945033811","4.76398847291072","4.57286432160804","4.38360702877397","4.30857993672064","3.97009457964256","3.98659966499162","3.72505016534247","9.8195325781683","34029","10.5555555555556","29047","9.07883303848823","63073","3.49773559153794","3.21151958792531","2.91333209256157","2.55202505454114","2.08728829331844","1.65842558963812","2.0571995781376","1.65686280638366","1.12993960304924","322380","50.1897802036985","319942","49.8102197963015","642322",""
"Dominica","DMA","1962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53156293357733","","","","","61978",""
"Dominican Republic","DOM","1970","101.672912937355","5.22728148734447","96.4456314500103","11.0208641104153","10.5389680398599","49.5852408594313","1106082","49.6812059510618","1125119","49.4913922677549","2231198","8.06190735636077","7.54450565087934","6.30024178490531","5.94330953745618","5.79601043677143","5.56378369842388","5.02277485347152","5.05392231684953","4.13069051307538","4.34198146094574","3.30400443055231","3.62093515201928","2.55843734096792","2.91207343481881","1.98359743419637","2.270292953655","1.50267769034554","1.70162002284721","2.59196127759061","56072","2.5185515902871","60558","2.66380687993954","116631","1.08266456577758","1.19866470950746","0.71839267611378","0.766969463301725","0.418845298534513","0.42003850682887","0.298649049861231","0.278134200301492","2.85373032333917","2226359","49.4777010668659","2273363","50.5222989331341","4499722",""
"Algeria","DZA","2012","49.7782187409741","8.3366924413519","41.4415262996222","8.98271833441225","9.14453137771365","66.7653811888783","12364676","66.7915491594362","12594827","66.7397130804693","24959503","10.0568831507812","10.1367279435201","9.9716588981531","9.97192442406599","8.86669299865776","8.81084942460781","7.27245335218635","7.15117767404851","6.07528407003849","5.93049976835517","5.21711036359755","5.114531318895","4.23271271653669","4.24516506661372","3.51428366468716","3.60535584678386","2.60175161038564","2.62895023586547","5.56602515601972","1083805","5.85450156047297","997017","5.28317129852996","2080797","1.92804408908741","1.81339510670102","1.63251142373388","1.43892161979376","1.20733547619274","1.07886135345546","1.08661057145894","0.951993218579722","1.95146367479529","18512336","49.5195431594762","18871563","50.4804568405238","37383899","1.05"
"Estonia","EST","1968","51.00782369296","17.3845474974278","33.6232761955322","6.59913221115461","8.69167504491289","66.2217141622712","474765","65.4508812792177","406794","67.1456825935754","881553","6.33799714774986","8.23875529477692","6.67828490564999","8.04575346529758","7.54029216291965","8.85484482389201","7.46113946842427","8.23479966377136","7.68607077765113","7.17238310286289","5.90052364669541","4.60913421126366","5.05145613426499","4.22774545514479","6.33111430475026","4.86509650091474","5.86487051995749","4.20549503073855","11.5123584582981","106139","14.6322359328455","47082","7.77133156428725","153254","5.12193644658088","3.28169037298304","4.00567696890607","2.1007696998665","2.81838655147541","1.32233448156511","2.68623596588312","1.0665370098726","0.925837506546126","725376","54.4898115324781","605838","45.5101884675219","1331214",""
"Fragile and conflict affected situations","FCS","1986","91.9454960193313","6.13151405091817","85.2045726286334","10.2758034919692","10.480772509922","52.2640559075599","104568834","52.6461767831507","102119970","51.8786922397943","206688379","8.66758003624647","8.69569944159216","7.28468241374653","7.20350687463742","6.14279187867809","6.01793413185258","4.9653752248186","4.90965111249169","4.14930608121626","4.09403929145573","3.57306341243042","3.4575553201551","3.04426677044109","2.87823495835121","2.52854698647397","2.34027379368886","2.01476048713013","1.80102480564751","3.20457829254693","7018568","3.53356499788995","5654701","2.8726848714023","12673127","1.50362117803349","1.29092685552857","1.03099954429863","0.842846618411781","0.598739254751201","0.464006065561752","0.400205020806623","0.274905331900203","2.43237396713134","198625694","50.2252931254815","196843763","49.7747068745185","397235010",""
"Fiji","FJI","2008","52.096242560327","6.89199789853977","45.2042446617872","9.31959600257212","9.48388890175821","65.7478875888526","271960","65.7438609893005","283843","65.7515809956219","555804","9.06504281231719","9.20637494498367","8.75150483723584","8.82624105260719","7.33296911034506","7.3907201927309","6.38244380732282","6.43054043410781","6.51854394608211","6.43494174060089","6.38679514390837","6.28390743357502","5.12708320239033","5.10296740716718","3.80814473512447","3.7313813152957","3.05173739200224","2.86061757279529","4.53131857277542","20290","4.90492329560563","18011","4.17220690773472","38306","2.20322675781911","1.96854224095995","1.3880763707919","1.17839190159605","0.796778076999318","0.631008362482337","0.51684208999531","0.394264402696379","1.09079599403503","413666","48.9339402571224","431690","51.0660597428776","845356","1.06"
"United Kingdom","GBR","1998","54.3293775778508","24.548695119457","29.7806824583937","5.7626250263364","6.2502045618163","64.7964772638593","19063618","63.4972374410311","18833609","66.1655142139734","37897607","5.99284049341703","6.33674211163983","7.13054319716358","7.45984442766589","7.92343877395281","8.22312163087566","7.45225020103566","7.71403838387385","6.37545750762657","6.62087408473951","6.43234547289528","6.6941370651964","6.38659138073078","6.6402380994188","5.2153971609689","5.36665905778652","4.82574822690407","4.85965479096065","15.9066896867874","5449287","18.1505238380751","3854731","13.5422942529543","9303368","4.5572067989076","4.35812540605082","4.42615738342262","3.77007954206247","3.78110525798489","2.76797949114151","5.38605439776001","2.6461098136995","0.291406085432392","30022752","51.3322276072872","28464389","48.6677723927128","58487141",""
"Ghana","GHA","2003","79.9060808826659","5.14269721770489","74.7633836649611","10.7730722111328","11.0039557258767","55.5845580827534","5733365","55.8122906746452","5800613","55.3613891109738","11533967","9.15646840595624","9.27168049775701","7.92287433007369","7.95838943251315","6.97634529186178","6.97928357144009","5.972284483409","5.9627554574596","4.8081179177393","4.73466420137276","3.5209346040943","3.3837981782874","2.68023092532211","2.52684672041817","2.27531823781453","2.06600231748826","1.7266442672414","1.47401300836069","2.85854676118161","319491","3.1101324544893","273677","2.6119892652249","593157","1.3351459248086","1.13861570877566","0.925901318898797","0.789207731488989","0.527997578019554","0.439589784917964","0.321087632762348","0.244576040042288","2.45852753662363","10272585","49.5056989033609","10477723","50.4943010966391","20750308",""
"Gibraltar","GIB","1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.978189491848197","","","","","28970",""
"Gambia, The","GMB","1995","93.6214782510234","4.81593060640477","88.8055476446186","9.64811063077052","9.70244191114718","51.6471656735264","292377","51.823078681917","290504","51.4718441372516","582878","8.64896673597042","8.44055748289315","8.57168684628924","7.74193205455763","6.9014840929273","6.36328522273447","4.78497225191117","4.86769880615315","3.74966987661805","3.83455529293366","3.18531398500132","3.49206405454346","2.65800281114461","2.99383055099806","2.06227412027658","2.30317827616878","1.61259733100785","1.7323004851221","2.48729592627872","14739","2.61245021562153","13329","2.36164806854786","28071","1.20740965254182","1.1883542348076","0.81604727544077","0.716875090805359","0.392780356728225","0.315205335279964","0.196212930910715","0.141213407654936","3.0916680333098","564183","49.9906519448828","564394","50.0093480551172","1128577",""
"Gambia, The","GMB","2003","97.538542444373","5.1320443163178","92.4064981280552","10.6256849451289","10.6752842469744","50.6230322258048","373613","51.2449370639154","360382","49.9938961118232","733996","8.89458257266419","8.48537563882739","7.59251817033411","7.04430313018484","6.3822141267061","5.80521383030081","5.3906810429134","4.87118021452392","3.80304852874815","3.79176308035491","2.6278575670749","2.8906072258938","2.32089242092356","2.47512665567967","2.02503727335946","2.21737610494248","1.58242041606259","1.73766598414099","2.59799644809214","19080","2.61702188944043","18590","2.57889275468473","37669","1.15859454403057","1.22715897299307","0.772350642528252","0.770477157585746","0.442205375867711","0.394255686326736","0.243871327013893","0.187000937779184","3.19992209584347","729073","50.2834974222805","720852","49.7165025777195","1449925",""
"Equatorial Guinea","GNQ","1986","84.7003944022903","8.07323469939338","76.6271597028969","9.61020674681443","9.74413914108149","54.1416117694561","100812","54.1787363024189","98984","54.1041043776749","199796","8.24353882615963","8.35906882170636","7.20631150139999","7.23745702401189","6.67426225191188","6.67993069182459","5.10068628978949","5.14727987275281","4.44556706238949","4.49519270187099","3.91620493032305","3.96280971407645","3.49217780118556","3.43643926515843","3.00043531302231","2.81332159977262","2.48934557942313","2.22846554541927","4.37100126550378","8688","4.66913523187136","7442","4.06775584719406","16130","1.95568405948203","1.73434416865718","1.35914399187416","1.19868161420271","0.824407624964396","0.698001104120775","0.529899555550779","0.43672896021339","4.69010158114165","186073","50.4230077176552","182951","49.5769922823448","369024",""
